tid,tname,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
101,Adelaide,62,64,54,44,40,68,28,36,56,52,48,64,68,68,14,60,48
102,Brisbane,20,12,16,28,40,40,16,28,54,40,40,28,40,64,16,68,68
103,Carlton,24,28,16,30,44,44,58,44,52,40,16,14,18,64,20,12,56
104,Collingwood,38,36,40,44,56,64,80,70,60,48,52,56,20,60,28,52,44
105,Essendon,48,12,24,50,56,44,46,28,42,32,40,14,32,56,30,50,68
106,Fremantle,32,16,68,64,66,56,36,52,24,24,40,60,44,52,44,36,8
107,Geelong,62,68,48,68,72,60,76,68,72,84,72,42,48,52,46,44,36
108,Gold Coast,24,24,18,40,32,12,12,12,12,12,12,12,12,12,12,12,12
109,GWS Giants,60,64,44,24,4,8,8,8,8,8,8,8,8,8,8,8,8
110,Hawthorn,42,68,64,68,76,68,72,50,36,68,52,36,20,48,48,44,52
111,Melbourne,48,40,28,16,8,16,34,34,16,12,20,54,48,44,52,48,40
112,North Melbourne,24,48,52,56,40,56,40,44,30,50,56,28,52,40,52,48,36
113,Port Adelaide,56,40,48,56,48,22,12,40,36,28,60,32,46,40,52,72,64
114,Richmond,60,32,60,48,60,42,34,24,22,46,14,44,40,32,56,28,60
115,St Kilda,44,48,26,16,20,48,50,62,80,52,46,56,56,32,56,22,16
116,Sydney,56,68,64,68,62,64,50,52,32,50,50,56,60,20,58,38,48
117,West Coast,48,64,66,44,36,60,68,16,32,16,60,68,68,16,60,44,20
118,Western Bulldogs,44,60,56,28,32,20,36,56,60,62,38,52,44,16,72,38,40
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
